Etnia,Religião,Xenofobia,Capacitismo,Sexismo,Politica,Assedio,Homofobia,Aparencia,Outros,Calunia,Palavrão
criolo,macumbeiro,baianada,aidético,cachorra,comunista,cuzuda,baitola,feia,babaca,ladra,anus
crioulo,herege,ciganos,aidética,cadela,corrupta,boazuda,bicha,feio,bacura,ladrao,baba-ovo
denegrir,,caipira,aleijado,rampeira,corrupto,bocetuda,bixa,feiosa,barbeiro,ladroeira,babaovo
denigrir,,branquelo,aleijada,baleia,facista,bunduda,boiola,feioso,bebum,ladrona,bagos
macaca,,japa,analfabeto,vadia,fascista,chupadeira,veada,feioza,besta,ladrão,bisca
macaco,,judiar,analfabeta,muie,nazista,puta,veadao,feiozo,bárbaro,corna,bokete
mulata,,gringo,anão,merdalher,,rabão,veado,,bêbado,cornagem,bokete
mulato,,roceiro,anã,mocrea,,rabuda,viada,,bêbedo,cornisse,bolcat
negro,,tupiniquim,apenado,mocreia,,rabudona,viadagem,,boco,corno,boquete
preto,,turco,apenada,mocréia,,rachada,viadao,,bosta,cornuda,bosseta
jamal,,argentino,ceguinho,piranha,,safada,viadão,,bostana,cornudo,caceta
,,paraguaio,canceroso,prostituta,,testuda,viado,,boçal,cornão,cacete
,,quirguistao,debil,sapatao,,raspadinha,viadão,,burra,fanatico,clitoris
,,boludo,débil,sapatão,,tarada,víado,,burro,fedorenta,clitóris
,,zulu,debiloide,tarado,,,arregassado,,caga,fanatico,caralho
,,baiano,debilóide,traveco,,,,,cagado,fanático,casseta
,,carcamano,deficiente,vadia,,,,,cagao,fedida,cassete
,,paraiba,doida,vagabunda,,,,,cagão,fedido,brioco
,,flango,doido,vagabundo,,,,,cagona,fedor,bronha
,,polaca,esclerosado,arrombado,,,,,canalha,fedorenta,buca
,,xingling,estupida,baitola,,,,,chifruda,malandro,buceta
,,chingchong,estúpida,biba,,,,,chifrudo,marginal,bunda
,,(((eles))),estupidez,bicha,,,,,chochota,meliante,merda
,,,estupido,boqueteiro,,,,,coco,ignorante,mija
,,,estúpido,cadelona,,,,,cocô,,mijada
,,,idiota,meretriz,,,,,cretina,pilantra,mijado
,,,idiotice,pistoleira,,,,,cretino,,mijo
,,,imbecil,trepadeira,,,,,demonio,,minorias
,,,inculto,rapariga,,,,,demônio,,moleca
,,,leprosa,incel,,,,,detento,,moleque
,,,leproso,,,,,,difunto,,naba
,,,louco,,,,,,egua,,nadega
,,,maluco,,,,,,égua,,nádega
,,,maneta,,,,,,elemento,,nhaca
,,,mondronga,,,,,,encostado,,nojeira
,,,mondrongo,,,,,,,,nojenta
,,,mongol,,,,,,,,nojento
,,,mongoloide,,,,,,,,nojo
,,,mongolóide,,,,,,,,otaria
,,,olhota,,,,,,,,otario
,,,perneta,,,,,,,,otária
,,,retardada,,,,,,,,otário
,,,retardado,,,,,,,,paca
,,,tuberculoso,,,,,,,,palhaco
,,,alienado,,,,,,,,palhaço
,,,anormal,,,,,,,,paspalha
,,,debilmental,,,,,,,,paspalhao
,,,demente,,,,,,,,paspalho
,,,desciclope,,,,,,,,imbecil
,,,drogado,,,,,,,,pinel
,,,lazaro,,,,,,,,pivete
,,,leproso,,,,,,,,preso
,,,lerdo,,,,,,,,puxa-saco
,,,lesma,,,,,,,,puxasaco
,,,lezado,,,,,,,,ramela
,,,zoado,,,,,,,,remela
,,,zoiudo,,,,,,,,ridícula
,,,,,,,,,,,troucha
,,,,,,,,,,,trouxa
,,,,,,,,,,,troxa
,,,,,,,,,,,animaldeteta
,,,,,,,,,,,barril
,,,,,,,,,,,babaca
,,,,,,,,,,,benfiquista
,,,,,,,,,,,desgracado
,,,,,,,,,,,biroska
,,,,,,,,,,,bobo
,,,,,,,,,,,bocal
,,,,,,,,,,,bosta
,,,,,,,,,,,burro
,,,,,,,,,,,cafona
,,,,,,,,,,,cambista
,,,,,,,,,,,capiroto
,,,,,,,,,,,caralho
,,,,,,,,,,,idiota
,,,,,,,,,,,imundo
,,,,,,,,,,,inascivel
,,,,,,,,,,,inseto
,,,,,,,,,,,invertebrado
,,,,,,,,,,,jacu
,,,,,,,,,,,jegue
,,,,,,,,,,,jumento
,,,,,,,,,,,energumeno
